CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
0_to_200,18,credits_paid_to_date,car_used,1982,less_100,unemployed,2,female,none,3,real_estate,28,none,own,1,skilled,1,none,yes,0
0_to_200,24,credits_paid_to_date,radio_tv,3124,100_to_500,4_to_7,3,male,none,3,savings_insurance,33,none,own,2,skilled,1,yes,yes,0
no_checking,8,credits_paid_to_date,car_used,3925,less_100,4_to_7,2,male,none,3,real_estate,31,none,own,2,management_self-employed,1,none,yes,1
0_to_200,42,outstanding_credit,appliances,3709,500_to_1000,greater_7,4,female,none,4,unknown,51,stores,own,1,unskilled,1,none,yes,1
no_checking,35,outstanding_credit,furniture,6041,unknown,4_to_7,3,male,none,4,unknown,52,none,own,2,skilled,2,yes,yes,1
no_checking,23,outstanding_credit,radio_tv,2420,500_to_1000,greater_7,3,male,none,4,savings_insurance,38,none,own,1,skilled,1,yes,yes,1
no_checking,50,outstanding_credit,other,7611,greater_1000,greater_7,4,male,co-applicant,4,car_other,52,none,free,2,skilled,1,yes,yes,1
0_to_200,15,credits_paid_to_date,education,5565,less_100,4_to_7,3,male,none,3,unknown,35,none,free,1,skilled,1,none,yes,0
no_checking,33,outstanding_credit,vacation,8185,500_to_1000,greater_7,4,male,co-applicant,4,unknown,53,none,free,3,skilled,1,yes,yes,1
0_to_200,25,outstanding_credit,appliances,5086,greater_1000,1_to_4,3,male,none,4,savings_insurance,34,none,own,2,skilled,1,none,yes,0
0_to_200,18,prior_payments_delayed,radio_tv,4953,less_100,greater_7,4,male,none,4,unknown,31,none,own,1,skilled,1,none,yes,1
no_checking,24,outstanding_credit,car_used,4620,greater_1000,1_to_4,3,male,none,4,savings_insurance,40,none,own,2,skilled,1,yes,yes,0
greater_200,20,credits_paid_to_date,retraining,4522,less_100,4_to_7,4,male,none,4,savings_insurance,36,none,own,1,management_self-employed,1,yes,yes,1
no_checking,31,outstanding_credit,radio_tv,9040,500_to_1000,greater_7,5,male,co-applicant,4,unknown,50,none,free,3,skilled,2,yes,yes,1
less_0,4,credits_paid_to_date,education,250,less_100,less_1,1,male,none,1,savings_insurance,19,stores,own,1,skilled,1,none,yes,0
less_0,11,all_credits_paid_back,car_new,716,less_100,unemployed,1,male,none,2,real_estate,38,stores,own,1,skilled,1,none,yes,0
less_0,16,credits_paid_to_date,car_new,250,less_100,unemployed,1,female,none,1,savings_insurance,22,stores,rent,1,skilled,1,yes,yes,0
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,0
less_0,10,all_credits_paid_back,car_new,2328,100_to_500,4_to_7,2,female,none,2,real_estate,33,stores,own,1,skilled,1,none,yes,0
no_checking,33,outstanding_credit,repairs,2943,greater_1000,4_to_7,4,male,none,3,savings_insurance,30,none,own,2,skilled,1,none,yes,1
no_checking,13,credits_paid_to_date,furniture,3180,less_100,4_to_7,4,male,none,4,savings_insurance,34,bank,own,1,unskilled,2,yes,yes,0
no_checking,33,outstanding_credit,radio_tv,8499,500_to_1000,greater_7,5,female,guarantor,6,unknown,58,none,free,2,skilled,1,yes,yes,1
no_checking,27,outstanding_credit,furniture,2266,500_to_1000,greater_7,3,male,none,3,savings_insurance,63,none,own,2,skilled,2,yes,yes,1
0_to_200,24,credits_paid_to_date,radio_tv,250,500_to_1000,less_1,3,male,none,3,savings_insurance,30,none,own,1,skilled,1,none,yes,0
less_0,16,credits_paid_to_date,furniture,250,less_100,unemployed,2,male,none,3,savings_insurance,26,none,rent,1,skilled,1,none,yes,0
less_0,4,no_credits,car_new,250,less_100,unemployed,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,0
0_to_200,15,no_credits,car_new,2949,100_to_500,1_to_4,2,male,none,3,car_other,37,none,own,2,skilled,1,yes,yes,0
less_0,4,credits_paid_to_date,car_used,250,100_to_500,4_to_7,2,female,none,3,real_estate,24,bank,rent,1,unskilled,1,none,yes,0
less_0,4,all_credits_paid_back,car_new,2862,less_100,less_1,2,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,0
no_checking,42,prior_payments_delayed,repairs,8226,500_to_1000,4_to_7,4,male,co-applicant,5,unknown,50,none,free,2,skilled,1,yes,yes,1
greater_200,26,outstanding_credit,radio_tv,6559,100_to_500,greater_7,5,female,none,3,unknown,34,none,free,1,skilled,1,yes,yes,1
no_checking,20,credits_paid_to_date,retraining,3282,100_to_500,1_to_4,4,female,none,4,savings_insurance,42,none,own,2,skilled,1,none,yes,0
less_0,10,all_credits_paid_back,car_used,435,less_100,less_1,2,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,0
no_checking,27,prior_payments_delayed,radio_tv,5395,100_to_500,4_to_7,4,female,none,3,car_other,46,stores,own,1,unskilled,1,yes,no,0
0_to_200,35,prior_payments_delayed,car_used,2660,100_to_500,less_1,3,female,none,3,savings_insurance,29,none,rent,2,skilled,2,none,yes,0
no_checking,24,outstanding_credit,radio_tv,5535,500_to_1000,4_to_7,4,male,none,5,savings_insurance,44,none,own,2,management_self-employed,1,none,yes,1
no_checking,35,prior_payments_delayed,furniture,6385,500_to_1000,greater_7,5,male,co-applicant,3,savings_insurance,47,none,free,2,skilled,2,yes,yes,0
no_checking,38,prior_payments_delayed,other,5877,500_to_1000,4_to_7,5,male,none,3,savings_insurance,38,none,own,1,management_self-employed,1,none,yes,0
no_checking,35,prior_payments_delayed,appliances,5954,500_to_1000,greater_7,4,male,co-applicant,4,car_other,44,none,free,2,skilled,1,yes,yes,1
no_checking,28,outstanding_credit,other,5653,greater_1000,4_to_7,4,female,none,4,unknown,55,none,own,2,skilled,2,yes,yes,1
0_to_200,19,no_credits,furniture,4832,less_100,1_to_4,2,female,none,3,car_other,33,none,free,2,skilled,1,none,yes,0
0_to_200,19,prior_payments_delayed,radio_tv,2763,100_to_500,1_to_4,3,male,none,3,savings_insurance,32,none,own,2,skilled,2,none,yes,0
no_checking,10,outstanding_credit,furniture,3619,100_to_500,less_1,3,female,none,2,savings_insurance,48,none,own,2,management_self-employed,1,none,yes,0
less_0,11,no_credits,car_new,3724,less_100,1_to_4,2,female,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes,0
less_0,16,credits_paid_to_date,car_new,1891,less_100,unemployed,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,0
0_to_200,35,credits_paid_to_date,education,467,500_to_1000,1_to_4,2,male,co-applicant,3,savings_insurance,29,stores,own,1,skilled,1,yes,yes,0
no_checking,36,prior_payments_delayed,appliances,7624,greater_1000,greater_7,5,male,co-applicant,3,car_other,46,none,own,2,skilled,1,none,yes,0
0_to_200,4,credits_paid_to_date,car_used,389,less_100,less_1,2,female,co-applicant,2,real_estate,40,none,own,1,skilled,1,yes,no,1
no_checking,27,prior_payments_delayed,appliances,5926,unknown,4_to_7,3,male,none,3,unknown,44,bank,own,2,unskilled,2,yes,yes,0
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,27,none,rent,1,skilled,1,none,yes,0
no_checking,8,prior_payments_delayed,furniture,1073,unknown,4_to_7,3,male,none,3,car_other,46,none,own,1,skilled,1,yes,yes,0
no_checking,29,all_credits_paid_back,repairs,3972,100_to_500,4_to_7,4,female,none,4,car_other,39,none,own,2,skilled,2,yes,yes,1
no_checking,29,prior_payments_delayed,radio_tv,3573,greater_1000,greater_7,3,male,none,4,car_other,58,bank,own,2,unemployed,2,yes,yes,1
no_checking,38,prior_payments_delayed,other,8238,500_to_1000,4_to_7,4,male,none,3,car_other,42,none,own,1,management_self-employed,2,none,yes,1
no_checking,28,prior_payments_delayed,furniture,4749,100_to_500,4_to_7,4,female,none,3,car_other,42,none,own,2,skilled,1,none,yes,1
less_0,10,credits_paid_to_date,car_new,1315,500_to_1000,less_1,2,male,none,2,savings_insurance,26,none,rent,1,skilled,1,none,yes,0
no_checking,27,outstanding_credit,radio_tv,7621,500_to_1000,4_to_7,4,male,co-applicant,5,car_other,51,none,own,2,management_self-employed,1,none,yes,1
greater_200,12,credits_paid_to_date,car_used,5380,less_100,1_to_4,2,male,none,3,unknown,47,bank,own,1,unemployed,1,yes,yes,0
0_to_200,13,credits_paid_to_date,furniture,250,500_to_1000,4_to_7,3,male,none,2,real_estate,26,none,rent,1,skilled,1,none,yes,0
less_0,9,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,1,savings_insurance,29,stores,own,1,unskilled,1,none,yes,0
no_checking,35,prior_payments_delayed,appliances,7061,500_to_1000,greater_7,5,male,none,5,unknown,48,stores,own,2,unskilled,2,yes,yes,1
0_to_200,24,credits_paid_to_date,furniture,4031,less_100,1_to_4,3,male,none,2,car_other,19,none,own,1,skilled,1,none,yes,1
less_0,9,prior_payments_delayed,vacation,4783,less_100,less_1,2,female,none,1,savings_insurance,33,none,own,1,skilled,1,none,yes,0
0_to_200,32,outstanding_credit,furniture,5884,100_to_500,greater_7,4,male,none,4,car_other,38,stores,own,2,unskilled,1,yes,yes,0
no_checking,12,prior_payments_delayed,car_used,2794,greater_1000,1_to_4,3,male,none,3,savings_insurance,37,none,own,2,management_self-employed,2,yes,yes,0
less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,co-applicant,2,real_estate,33,stores,own,1,skilled,1,none,yes,0
less_0,9,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,24,none,rent,1,skilled,1,none,yes,0
no_checking,8,prior_payments_delayed,car_used,1638,100_to_500,less_1,3,male,none,4,real_estate,38,none,rent,1,management_self-employed,1,yes,yes,0
no_checking,32,prior_payments_delayed,car_used,5497,500_to_1000,4_to_7,4,male,guarantor,5,car_other,51,none,free,2,skilled,1,yes,yes,0
less_0,9,all_credits_paid_back,car_used,448,100_to_500,1_to_4,2,male,none,2,real_estate,27,bank,rent,2,unskilled,1,none,yes,0
less_0,11,prior_payments_delayed,car_new,4693,less_100,4_to_7,3,male,none,2,car_other,32,none,own,2,skilled,1,none,yes,0
no_checking,39,prior_payments_delayed,repairs,4862,unknown,4_to_7,4,male,co-applicant,4,savings_insurance,46,none,own,2,skilled,1,yes,yes,0
no_checking,25,outstanding_credit,appliances,5593,500_to_1000,1_to_4,3,male,none,4,car_other,58,none,own,2,management_self-employed,2,yes,yes,0
no_checking,36,prior_payments_delayed,vacation,6173,500_to_1000,greater_7,5,male,none,4,unknown,48,none,free,2,skilled,1,yes,yes,1
less_0,19,credits_paid_to_date,radio_tv,472,500_to_1000,less_1,1,male,none,1,savings_insurance,25,bank,rent,1,unemployed,1,none,yes,0
0_to_200,20,credits_paid_to_date,car_new,1802,500_to_1000,less_1,3,male,none,3,savings_insurance,29,none,own,1,skilled,1,yes,yes,0
no_checking,13,prior_payments_delayed,radio_tv,7020,100_to_500,1_to_4,3,male,co-applicant,2,unknown,45,stores,own,1,unskilled,1,yes,yes,0
no_checking,12,credits_paid_to_date,car_new,7593,less_100,1_to_4,4,male,none,3,savings_insurance,46,stores,free,2,skilled,1,yes,yes,0
0_to_200,24,credits_paid_to_date,retraining,5984,less_100,1_to_4,4,male,none,3,savings_insurance,46,none,free,2,management_self-employed,1,yes,yes,0
0_to_200,17,prior_payments_delayed,radio_tv,6558,greater_1000,4_to_7,4,male,none,3,unknown,27,none,own,2,skilled,1,none,yes,0
no_checking,35,prior_payments_delayed,furniture,2123,500_to_1000,4_to_7,4,male,none,4,car_other,34,none,own,1,skilled,1,none,yes,0
no_checking,30,outstanding_credit,radio_tv,9647,500_to_1000,greater_7,5,male,co-applicant,4,unknown,58,none,free,2,skilled,1,yes,yes,1
less_0,21,credits_paid_to_date,car_used,250,less_100,unemployed,2,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,0
less_0,9,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,real_estate,19,bank,rent,1,unskilled,1,none,yes,0
no_checking,36,prior_payments_delayed,appliances,2434,500_to_1000,greater_7,4,male,none,4,savings_insurance,29,stores,own,1,unskilled,1,none,yes,1
greater_200,32,outstanding_credit,furniture,1528,greater_1000,1_to_4,4,male,none,4,car_other,29,none,own,1,skilled,1,none,yes,0
0_to_200,24,credits_paid_to_date,radio_tv,1355,less_100,less_1,2,male,none,3,savings_insurance,19,none,own,1,skilled,1,none,yes,1
no_checking,25,prior_payments_delayed,education,6921,greater_1000,greater_7,4,male,none,3,unknown,50,none,own,3,skilled,2,yes,yes,1
less_0,4,credits_paid_to_date,car_used,250,less_100,1_to_4,2,female,none,1,car_other,29,stores,own,1,skilled,1,none,yes,0
no_checking,28,outstanding_credit,appliances,6505,500_to_1000,4_to_7,4,male,guarantor,3,savings_insurance,55,none,free,2,management_self-employed,1,yes,yes,0
0_to_200,16,credits_paid_to_date,car_used,4036,less_100,4_to_7,4,female,none,2,real_estate,34,none,own,1,skilled,1,none,yes,0
0_to_200,15,credits_paid_to_date,appliances,250,less_100,less_1,2,female,none,2,savings_insurance,32,none,own,1,skilled,1,none,yes,0
less_0,13,prior_payments_delayed,furniture,250,500_to_1000,1_to_4,3,male,none,3,savings_insurance,39,none,own,2,skilled,1,yes,yes,1
no_checking,35,outstanding_credit,repairs,5863,greater_1000,4_to_7,5,male,guarantor,5,car_other,60,none,free,2,skilled,1,yes,yes,1
0_to_200,20,credits_paid_to_date,furniture,3198,less_100,1_to_4,3,male,none,3,car_other,35,none,own,1,management_self-employed,1,none,yes,0
less_0,8,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,savings_insurance,26,none,rent,1,skilled,1,none,yes,0
greater_200,6,prior_payments_delayed,vacation,4178,less_100,1_to_4,2,female,none,2,savings_insurance,39,bank,own,1,unskilled,1,yes,yes,0
no_checking,33,prior_payments_delayed,furniture,4553,unknown,4_to_7,4,female,none,4,savings_insurance,49,none,own,2,skilled,1,none,yes,1
no_checking,24,outstanding_credit,furniture,5961,500_to_1000,1_to_4,4,male,none,4,car_other,50,none,own,3,skilled,1,yes,yes,1
greater_200,36,prior_payments_delayed,radio_tv,4469,100_to_500,greater_7,4,male,none,2,savings_insurance,34,none,own,2,skilled,1,yes,yes,0
0_to_200,38,outstanding_credit,other,6830,greater_1000,greater_7,4,male,none,3,car_other,33,none,own,2,skilled,2,yes,yes,0
no_checking,27,outstanding_credit,radio_tv,8317,500_to_1000,4_to_7,4,male,co-applicant,3,unknown,47,none,free,2,skilled,1,yes,yes,1
less_0,11,all_credits_paid_back,furniture,2016,less_100,less_1,1,female,none,1,car_other,34,bank,own,1,unemployed,1,none,yes,0
less_0,16,credits_paid_to_date,car_new,250,less_100,4_to_7,3,female,none,3,real_estate,29,stores,own,1,skilled,1,none,yes,0
less_0,4,credits_paid_to_date,car_new,250,100_to_500,less_1,2,female,co-applicant,1,real_estate,39,stores,rent,1,skilled,1,none,yes,0
no_checking,26,outstanding_credit,appliances,5187,500_to_1000,greater_7,5,male,none,5,unknown,53,none,own,1,management_self-employed,1,yes,yes,1
0_to_200,4,prior_payments_delayed,furniture,510,less_100,4_to_7,3,male,none,3,savings_insurance,36,none,own,2,skilled,1,none,yes,0
less_0,5,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,savings_insurance,30,stores,rent,1,skilled,1,none,yes,0
no_checking,18,prior_payments_delayed,radio_tv,5172,100_to_500,greater_7,4,female,none,3,car_other,43,stores,free,2,unskilled,2,yes,yes,1
greater_200,34,prior_payments_delayed,business,1998,100_to_500,4_to_7,2,male,none,2,real_estate,38,none,rent,1,skilled,2,none,yes,0
0_to_200,36,outstanding_credit,appliances,3998,500_to_1000,greater_7,4,male,none,4,car_other,36,none,own,2,skilled,1,none,yes,0
no_checking,48,outstanding_credit,repairs,3785,unknown,greater_7,5,female,none,4,car_other,35,none,own,2,skilled,1,yes,yes,1
less_0,11,prior_payments_delayed,furniture,250,less_100,4_to_7,2,male,none,1,savings_insurance,24,stores,own,1,skilled,1,none,yes,0
no_checking,10,prior_payments_delayed,repairs,2560,100_to_500,1_to_4,3,male,none,2,car_other,28,none,own,1,management_self-employed,1,none,yes,1
less_0,18,prior_payments_delayed,retraining,3270,less_100,1_to_4,3,female,none,2,car_other,38,none,rent,1,skilled,1,none,yes,0
0_to_200,22,prior_payments_delayed,car_new,3412,less_100,1_to_4,2,male,none,1,savings_insurance,29,none,free,1,skilled,1,none,yes,1
no_checking,22,credits_paid_to_date,radio_tv,3855,500_to_1000,greater_7,4,female,none,4,car_other,46,none,own,2,skilled,1,none,yes,1
no_checking,18,credits_paid_to_date,repairs,4256,100_to_500,less_1,3,male,none,4,real_estate,31,none,own,2,management_self-employed,1,none,yes,0
greater_200,13,credits_paid_to_date,car_used,3689,500_to_1000,less_1,2,female,co-applicant,3,car_other,43,none,free,1,skilled,1,yes,yes,0
0_to_200,8,prior_payments_delayed,car_used,3473,500_to_1000,less_1,3,male,none,2,car_other,35,none,own,2,skilled,1,yes,yes,0
no_checking,28,outstanding_credit,repairs,7375,500_to_1000,4_to_7,5,male,none,3,unknown,53,none,free,2,management_self-employed,1,yes,yes,1
0_to_200,4,all_credits_paid_back,car_used,2348,100_to_500,less_1,1,male,none,3,real_estate,19,stores,rent,1,unskilled,2,none,yes,0
no_checking,31,prior_payments_delayed,radio_tv,5637,100_to_500,4_to_7,4,male,none,5,car_other,32,none,own,1,skilled,1,yes,yes,1
0_to_200,22,all_credits_paid_back,repairs,2181,500_to_1000,1_to_4,1,female,none,1,savings_insurance,35,stores,rent,2,unskilled,2,none,yes,0
no_checking,18,credits_paid_to_date,radio_tv,5093,500_to_1000,1_to_4,3,male,none,4,car_other,48,stores,own,2,unskilled,1,none,yes,1
no_checking,31,prior_payments_delayed,furniture,7782,greater_1000,greater_7,4,male,co-applicant,5,unknown,53,none,own,2,skilled,2,yes,yes,1
0_to_200,25,prior_payments_delayed,radio_tv,4662,less_100,1_to_4,2,male,none,3,unknown,30,none,own,2,skilled,1,none,yes,1
less_0,4,prior_payments_delayed,vacation,250,500_to_1000,less_1,2,female,none,2,car_other,32,none,rent,1,skilled,1,none,yes,0
less_0,14,all_credits_paid_back,furniture,1786,less_100,1_to_4,2,female,none,1,savings_insurance,40,none,own,1,skilled,1,yes,yes,0
no_checking,11,credits_paid_to_date,car_new,3930,less_100,4_to_7,3,male,none,4,savings_insurance,26,stores,own,1,unskilled,1,yes,yes,0
less_0,9,credits_paid_to_date,furniture,2194,less_100,1_to_4,1,female,none,2,car_other,34,stores,rent,1,skilled,1,none,yes,1
0_to_200,23,outstanding_credit,radio_tv,4793,greater_1000,greater_7,4,female,none,4,unknown,42,none,own,2,skilled,1,yes,yes,1
less_0,21,all_credits_paid_back,furniture,250,500_to_1000,1_to_4,2,male,none,1,savings_insurance,23,stores,rent,2,skilled,1,none,yes,0
no_checking,14,outstanding_credit,furniture,3763,100_to_500,1_to_4,3,female,none,3,car_other,46,stores,own,1,unskilled,2,yes,yes,0
0_to_200,15,credits_paid_to_date,furniture,1566,less_100,1_to_4,3,male,none,3,real_estate,28,none,rent,1,skilled,1,none,yes,0
no_checking,25,outstanding_credit,furniture,6928,500_to_1000,4_to_7,4,male,none,4,car_other,43,none,free,2,management_self-employed,1,yes,yes,0
0_to_200,4,prior_payments_delayed,car_new,567,less_100,less_1,1,female,none,3,car_other,40,none,own,1,skilled,1,none,yes,0
no_checking,24,prior_payments_delayed,furniture,4738,100_to_500,greater_7,3,female,none,4,car_other,47,none,own,2,skilled,1,yes,yes,1
0_to_200,21,outstanding_credit,radio_tv,3109,100_to_500,greater_7,4,male,none,4,unknown,40,none,own,2,skilled,1,yes,no,1
0_to_200,28,credits_paid_to_date,appliances,2118,less_100,4_to_7,2,male,none,3,real_estate,37,none,own,1,skilled,1,yes,yes,0
0_to_200,15,no_credits,car_new,476,100_to_500,less_1,1,male,none,2,real_estate,21,none,rent,2,skilled,1,none,yes,0
0_to_200,4,credits_paid_to_date,furniture,4035,less_100,4_to_7,3,female,none,2,savings_insurance,32,none,free,2,skilled,1,yes,yes,0
0_to_200,20,all_credits_paid_back,car_new,250,less_100,less_1,1,female,none,3,real_estate,19,stores,rent,1,skilled,1,none,yes,0
less_0,28,outstanding_credit,repairs,250,500_to_1000,1_to_4,2,female,none,2,real_estate,41,stores,own,1,skilled,1,yes,yes,0
no_checking,26,prior_payments_delayed,appliances,5027,500_to_1000,greater_7,4,male,none,3,savings_insurance,51,none,own,2,skilled,1,yes,yes,1
no_checking,10,credits_paid_to_date,car_used,2133,greater_1000,4_to_7,2,male,none,2,car_other,37,none,own,2,skilled,1,none,yes,0
less_0,27,credits_paid_to_date,car_used,1262,less_100,1_to_4,3,female,none,2,real_estate,22,bank,rent,1,unemployed,1,yes,yes,0
no_checking,37,outstanding_credit,other,7916,unknown,greater_7,5,female,none,5,unknown,53,none,own,3,skilled,2,yes,yes,1
less_0,12,all_credits_paid_back,furniture,250,less_100,1_to_4,1,female,none,2,savings_insurance,28,stores,rent,1,skilled,1,none,yes,0
no_checking,22,prior_payments_delayed,radio_tv,3273,100_to_500,1_to_4,3,male,none,4,savings_insurance,28,none,own,1,management_self-employed,1,yes,yes,0
less_0,19,credits_paid_to_date,repairs,250,less_100,less_1,1,female,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,0
0_to_200,15,credits_paid_to_date,car_used,4097,100_to_500,1_to_4,3,male,none,3,car_other,43,none,own,2,skilled,1,none,yes,0
less_0,14,no_credits,car_new,250,less_100,less_1,1,female,none,1,real_estate,33,stores,own,1,skilled,1,none,yes,0
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,2,real_estate,19,bank,rent,1,unskilled,1,none,yes,0
0_to_200,19,prior_payments_delayed,radio_tv,358,100_to_500,greater_7,3,female,none,2,car_other,40,none,own,2,skilled,1,none,yes,0
no_checking,27,prior_payments_delayed,furniture,7158,100_to_500,greater_7,5,male,none,3,car_other,37,stores,own,2,unskilled,1,none,yes,0
0_to_200,4,prior_payments_delayed,vacation,3497,500_to_1000,1_to_4,3,male,co-applicant,2,savings_insurance,41,none,own,2,skilled,1,yes,yes,0
less_0,9,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,male,co-applicant,2,savings_insurance,44,stores,own,1,skilled,1,none,yes,0
no_checking,29,outstanding_credit,radio_tv,5375,500_to_1000,greater_7,4,male,co-applicant,3,unknown,59,stores,free,2,unskilled,1,yes,yes,1
no_checking,31,outstanding_credit,repairs,5602,unknown,1_to_4,3,female,none,4,car_other,47,none,own,1,skilled,1,none,yes,1
no_checking,34,outstanding_credit,radio_tv,7062,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,61,none,free,3,skilled,2,yes,yes,1
less_0,21,credits_paid_to_date,furniture,3417,less_100,1_to_4,2,male,none,2,car_other,23,stores,own,1,skilled,1,none,yes,0
no_checking,10,credits_paid_to_date,car_new,1586,less_100,1_to_4,2,male,none,4,real_estate,51,none,rent,1,management_self-employed,1,yes,yes,0
0_to_200,20,no_credits,furniture,1652,less_100,unemployed,1,male,none,2,savings_insurance,22,none,rent,1,skilled,1,none,yes,0
no_checking,32,prior_payments_delayed,appliances,6954,500_to_1000,greater_7,4,female,none,4,car_other,58,none,own,2,skilled,1,none,yes,1
less_0,14,all_credits_paid_back,car_used,1543,less_100,less_1,2,female,none,2,real_estate,21,none,rent,1,skilled,1,none,yes,0
less_0,4,all_credits_paid_back,car_new,779,less_100,less_1,2,female,none,2,savings_insurance,28,none,own,1,management_self-employed,1,none,yes,0
no_checking,31,outstanding_credit,education,6500,500_to_1000,4_to_7,4,female,none,3,unknown,50,none,own,1,management_self-employed,1,yes,yes,1
less_0,21,prior_payments_delayed,radio_tv,1782,less_100,4_to_7,2,male,none,2,savings_insurance,41,none,rent,1,skilled,1,none,yes,1
no_checking,16,credits_paid_to_date,radio_tv,1008,greater_1000,greater_7,4,female,none,4,savings_insurance,34,none,own,1,skilled,1,none,yes,0
no_checking,24,prior_payments_delayed,car_used,5013,500_to_1000,4_to_7,3,male,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,0
less_0,19,prior_payments_delayed,furniture,3179,less_100,4_to_7,3,male,none,3,unknown,38,none,rent,1,skilled,1,yes,yes,0
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,27,none,rent,1,skilled,1,none,yes,0
no_checking,11,credits_paid_to_date,appliances,4652,greater_1000,4_to_7,4,male,none,4,car_other,35,stores,rent,1,unskilled,1,yes,yes,1
0_to_200,6,prior_payments_delayed,car_new,3452,less_100,4_to_7,3,male,co-applicant,4,car_other,48,none,own,1,skilled,1,none,yes,1
0_to_200,23,outstanding_credit,radio_tv,2897,greater_1000,4_to_7,3,female,none,3,car_other,49,bank,rent,1,unemployed,1,yes,yes,1
no_checking,32,prior_payments_delayed,car_used,5305,500_to_1000,4_to_7,4,male,guarantor,5,car_other,45,none,free,1,skilled,1,yes,yes,1
0_to_200,11,credits_paid_to_date,vacation,3605,less_100,1_to_4,3,female,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,0
0_to_200,8,all_credits_paid_back,vacation,1455,less_100,less_1,1,female,none,1,car_other,31,none,own,1,skilled,1,none,yes,0
greater_200,9,credits_paid_to_date,appliances,938,less_100,4_to_7,3,female,none,3,savings_insurance,40,stores,own,1,skilled,1,none,yes,0
no_checking,43,prior_payments_delayed,appliances,7393,500_to_1000,greater_7,5,male,co-applicant,4,savings_insurance,37,none,free,2,skilled,1,none,yes,0
