CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
0_to_200,13,credits_paid_to_date,car_new,250,less_100,4_to_7,2,male,none,3,real_estate,19,none,own,1,skilled,1,none,yes,0
no_checking,25,credits_paid_to_date,business,7487,greater_1000,4_to_7,4,female,none,2,savings_insurance,54,none,own,3,skilled,2,yes,yes,0
less_0,8,prior_payments_delayed,car_new,1074,500_to_1000,4_to_7,2,female,none,3,savings_insurance,37,stores,own,2,skilled,2,none,yes,0
no_checking,30,outstanding_credit,furniture,3601,unknown,greater_7,4,male,none,3,savings_insurance,35,bank,own,2,unskilled,1,none,yes,1
no_checking,8,credits_paid_to_date,vacation,4657,less_100,1_to_4,4,female,none,3,savings_insurance,34,none,own,1,management_self-employed,1,none,yes,0
no_checking,36,prior_payments_delayed,appliances,7004,500_to_1000,4_to_7,5,male,none,3,savings_insurance,40,none,free,2,management_self-employed,1,none,yes,1
no_checking,29,outstanding_credit,repairs,7074,greater_1000,greater_7,4,male,co-applicant,4,unknown,55,none,free,2,skilled,2,yes,yes,1
0_to_200,18,prior_payments_delayed,furniture,3493,less_100,1_to_4,2,male,none,1,car_other,30,none,rent,1,skilled,1,none,yes,1
less_0,17,credits_paid_to_date,repairs,1096,100_to_500,1_to_4,3,female,none,1,savings_insurance,29,stores,rent,1,unskilled,1,none,yes,0
less_0,37,credits_paid_to_date,car_used,1728,greater_1000,4_to_7,2,male,none,2,unknown,30,bank,own,1,unemployed,1,none,yes,0
greater_200,29,outstanding_credit,radio_tv,6198,500_to_1000,1_to_4,4,female,guarantor,5,car_other,50,none,free,1,skilled,1,yes,yes,1
0_to_200,12,credits_paid_to_date,car_new,250,100_to_500,less_1,2,female,none,2,savings_insurance,20,none,own,1,skilled,1,none,yes,0
no_checking,28,outstanding_credit,appliances,5069,500_to_1000,4_to_7,4,male,none,3,car_other,50,none,free,2,skilled,1,yes,yes,0
less_0,4,all_credits_paid_back,car_new,1000,less_100,1_to_4,1,male,none,2,real_estate,22,stores,rent,1,skilled,1,none,yes,0
0_to_200,8,all_credits_paid_back,furniture,3905,less_100,4_to_7,3,male,none,3,real_estate,24,none,own,1,management_self-employed,1,yes,yes,0
less_0,13,all_credits_paid_back,car_new,937,less_100,less_1,2,female,none,1,car_other,26,stores,own,1,skilled,1,none,yes,0
less_0,16,prior_payments_delayed,car_used,653,less_100,4_to_7,3,female,co-applicant,3,car_other,24,bank,own,1,unemployed,1,none,yes,0
no_checking,32,outstanding_credit,other,10292,100_to_500,greater_7,6,male,co-applicant,5,car_other,61,none,free,2,management_self-employed,1,yes,yes,1
0_to_200,20,credits_paid_to_date,car_new,4373,less_100,1_to_4,2,female,none,2,savings_insurance,36,none,rent,1,skilled,1,none,yes,1
no_checking,19,credits_paid_to_date,furniture,2378,100_to_500,1_to_4,3,female,none,3,real_estate,29,none,own,1,skilled,1,none,yes,0
no_checking,32,all_credits_paid_back,car_used,4423,greater_1000,1_to_4,4,female,none,3,car_other,42,none,own,1,skilled,1,none,yes,0
0_to_200,28,outstanding_credit,business,4776,unknown,greater_7,5,female,none,3,unknown,46,none,free,2,skilled,1,none,yes,1
no_checking,38,outstanding_credit,repairs,9497,500_to_1000,greater_7,5,male,co-applicant,4,unknown,65,none,own,2,skilled,2,yes,yes,1
less_0,23,credits_paid_to_date,car_new,4168,less_100,4_to_7,3,male,none,2,car_other,32,none,own,1,skilled,1,yes,yes,1
0_to_200,8,prior_payments_delayed,appliances,250,greater_1000,less_1,1,male,co-applicant,3,savings_insurance,45,stores,rent,1,skilled,1,none,yes,0
no_checking,31,all_credits_paid_back,furniture,4380,greater_1000,1_to_4,3,female,none,3,savings_insurance,36,bank,own,1,unemployed,1,none,no,0
less_0,19,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,28,none,own,1,skilled,1,yes,yes,0
no_checking,26,prior_payments_delayed,appliances,5891,100_to_500,greater_7,4,male,none,4,unknown,58,none,free,3,skilled,2,yes,yes,1
no_checking,37,outstanding_credit,repairs,4580,greater_1000,greater_7,5,male,none,3,car_other,45,none,free,2,skilled,1,yes,yes,0
no_checking,8,credits_paid_to_date,car_used,5304,500_to_1000,4_to_7,3,male,none,4,savings_insurance,40,stores,own,2,unskilled,1,none,yes,1
0_to_200,18,prior_payments_delayed,furniture,3309,100_to_500,greater_7,2,male,none,3,car_other,35,none,own,1,skilled,1,yes,yes,0
less_0,19,credits_paid_to_date,furniture,1283,less_100,unemployed,2,female,none,2,real_estate,20,none,rent,1,skilled,1,none,yes,0
less_0,14,no_credits,car_used,2588,less_100,unemployed,2,male,none,2,savings_insurance,22,none,own,1,skilled,1,none,yes,0
greater_200,17,credits_paid_to_date,furniture,2083,less_100,4_to_7,2,male,none,1,savings_insurance,33,none,free,1,skilled,1,none,yes,0
no_checking,16,outstanding_credit,radio_tv,1733,greater_1000,4_to_7,3,male,none,3,savings_insurance,47,none,own,1,skilled,1,none,yes,1
no_checking,31,prior_payments_delayed,business,6811,100_to_500,1_to_4,3,male,none,4,savings_insurance,56,none,own,2,management_self-employed,2,yes,yes,0
no_checking,10,credits_paid_to_date,furniture,5130,500_to_1000,1_to_4,3,male,none,3,savings_insurance,44,none,own,2,management_self-employed,1,yes,yes,0
0_to_200,4,prior_payments_delayed,car_used,2802,less_100,less_1,3,female,none,3,savings_insurance,29,stores,own,2,unskilled,1,none,yes,0
no_checking,34,prior_payments_delayed,appliances,6096,500_to_1000,greater_7,5,female,none,5,car_other,40,none,own,2,skilled,1,none,yes,1
no_checking,24,outstanding_credit,car_used,2055,greater_1000,greater_7,4,female,none,4,savings_insurance,35,none,free,2,skilled,1,yes,yes,1
0_to_200,14,credits_paid_to_date,appliances,250,less_100,less_1,3,female,none,1,real_estate,38,bank,own,2,unemployed,1,none,yes,0
0_to_200,36,prior_payments_delayed,business,3152,100_to_500,1_to_4,4,male,none,3,real_estate,19,stores,own,1,skilled,1,none,yes,0
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,24,bank,rent,1,unskilled,1,none,yes,0
less_0,9,credits_paid_to_date,vacation,657,less_100,less_1,2,male,none,1,real_estate,24,none,own,1,skilled,1,none,yes,0
no_checking,17,credits_paid_to_date,car_new,2720,100_to_500,1_to_4,3,male,none,4,savings_insurance,34,none,rent,1,management_self-employed,1,none,yes,0
no_checking,24,prior_payments_delayed,furniture,8067,100_to_500,4_to_7,4,female,none,3,unknown,51,none,free,2,skilled,1,yes,yes,1
greater_200,21,credits_paid_to_date,radio_tv,258,100_to_500,4_to_7,2,male,co-applicant,3,savings_insurance,39,bank,free,1,unemployed,1,yes,yes,1
greater_200,19,credits_paid_to_date,furniture,4480,less_100,1_to_4,3,male,none,2,car_other,42,none,own,2,skilled,2,yes,yes,1
greater_200,22,outstanding_credit,car_used,3275,100_to_500,greater_7,3,male,none,3,car_other,41,none,own,2,skilled,1,yes,yes,1
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,2,real_estate,19,stores,rent,2,unskilled,1,none,yes,1
0_to_200,4,no_credits,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,21,stores,rent,1,skilled,1,none,yes,0
0_to_200,32,credits_paid_to_date,radio_tv,250,less_100,1_to_4,3,male,none,3,real_estate,19,none,own,1,skilled,1,none,yes,0
no_checking,42,outstanding_credit,appliances,3437,unknown,greater_7,5,male,none,3,unknown,38,none,own,2,skilled,1,yes,yes,0
greater_200,26,prior_payments_delayed,business,6693,100_to_500,4_to_7,4,female,none,4,savings_insurance,39,stores,own,1,unskilled,1,yes,yes,0
less_0,4,no_credits,car_new,250,less_100,less_1,1,male,none,1,real_estate,37,stores,rent,1,skilled,1,none,yes,0
no_checking,8,prior_payments_delayed,car_used,2646,greater_1000,1_to_4,3,female,none,4,savings_insurance,42,stores,rent,1,unskilled,1,none,yes,0
greater_200,22,outstanding_credit,radio_tv,3671,100_to_500,greater_7,4,female,co-applicant,3,car_other,46,none,free,2,skilled,1,yes,yes,1
less_0,18,prior_payments_delayed,repairs,2671,less_100,4_to_7,4,male,co-applicant,2,savings_insurance,22,none,own,1,skilled,1,none,yes,0
less_0,16,prior_payments_delayed,radio_tv,2878,100_to_500,less_1,2,male,none,2,car_other,29,none,own,1,skilled,2,none,yes,0
no_checking,27,credits_paid_to_date,retraining,8525,less_100,1_to_4,4,female,none,4,car_other,38,none,own,1,skilled,1,yes,yes,0
0_to_200,17,prior_payments_delayed,furniture,3368,100_to_500,1_to_4,3,male,none,4,savings_insurance,31,none,own,2,management_self-employed,2,none,yes,1
less_0,4,no_credits,car_new,250,less_100,less_1,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,0
no_checking,24,outstanding_credit,appliances,2358,unknown,greater_7,3,male,none,4,car_other,46,none,free,2,skilled,2,yes,yes,0
less_0,11,credits_paid_to_date,car_new,2083,less_100,less_1,2,male,none,2,savings_insurance,25,none,own,1,skilled,1,none,yes,0
less_0,27,prior_payments_delayed,radio_tv,2231,less_100,1_to_4,3,male,none,2,car_other,32,none,own,2,skilled,1,none,yes,0
less_0,10,all_credits_paid_back,furniture,3251,less_100,unemployed,2,female,none,3,savings_insurance,27,none,rent,3,skilled,2,none,yes,1
less_0,14,credits_paid_to_date,car_new,5946,less_100,less_1,2,male,co-applicant,1,car_other,57,bank,free,2,unemployed,1,yes,yes,0
no_checking,27,outstanding_credit,radio_tv,5645,500_to_1000,4_to_7,4,female,none,5,savings_insurance,48,none,own,2,management_self-employed,1,yes,yes,1
greater_200,27,outstanding_credit,radio_tv,9772,100_to_500,greater_7,5,male,co-applicant,5,unknown,37,none,own,2,management_self-employed,1,yes,yes,1
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,male,none,1,real_estate,22,none,own,1,management_self-employed,1,none,yes,0
0_to_200,16,no_credits,car_new,2205,less_100,less_1,2,female,none,3,savings_insurance,41,none,own,1,skilled,1,none,yes,0
no_checking,22,credits_paid_to_date,radio_tv,3312,100_to_500,1_to_4,4,male,none,4,car_other,50,none,own,2,management_self-employed,1,none,no,1
0_to_200,16,credits_paid_to_date,car_used,3806,less_100,1_to_4,2,female,none,1,savings_insurance,36,stores,free,1,skilled,1,none,yes,1
less_0,19,credits_paid_to_date,car_used,881,100_to_500,unemployed,2,female,none,3,real_estate,19,stores,own,1,skilled,1,none,yes,0
no_checking,31,prior_payments_delayed,car_used,5661,unknown,1_to_4,3,female,co-applicant,3,savings_insurance,49,none,own,2,skilled,1,yes,yes,1
less_0,16,credits_paid_to_date,car_new,1328,100_to_500,less_1,1,male,none,2,savings_insurance,25,stores,rent,1,skilled,1,none,yes,0
0_to_200,18,prior_payments_delayed,radio_tv,4560,500_to_1000,1_to_4,3,male,none,2,savings_insurance,32,none,own,1,skilled,1,none,yes,0
no_checking,42,outstanding_credit,radio_tv,4570,greater_1000,1_to_4,4,male,none,3,car_other,41,none,own,1,skilled,1,none,yes,1
no_checking,8,prior_payments_delayed,car_new,2071,100_to_500,greater_7,3,male,none,3,car_other,38,none,own,1,skilled,1,yes,no,1
less_0,17,all_credits_paid_back,car_used,2817,less_100,1_to_4,2,female,none,3,real_estate,33,none,own,1,skilled,1,none,yes,0
less_0,7,no_credits,car_new,250,less_100,unemployed,1,female,none,1,real_estate,21,none,own,1,skilled,1,none,yes,0
0_to_200,33,prior_payments_delayed,business,4723,500_to_1000,4_to_7,3,male,co-applicant,2,savings_insurance,42,none,own,2,skilled,1,none,yes,0
less_0,11,credits_paid_to_date,education,1296,less_100,unemployed,1,female,none,1,savings_insurance,29,none,rent,1,skilled,1,none,yes,0
less_0,12,all_credits_paid_back,car_new,4152,less_100,1_to_4,2,male,none,3,savings_insurance,29,none,own,2,skilled,1,none,yes,0
no_checking,23,prior_payments_delayed,education,5883,greater_1000,greater_7,3,male,none,2,savings_insurance,40,none,free,2,skilled,1,none,yes,1
less_0,24,all_credits_paid_back,car_new,1834,less_100,4_to_7,3,male,none,1,savings_insurance,27,none,own,1,skilled,1,none,yes,0
0_to_200,23,credits_paid_to_date,car_used,1964,less_100,1_to_4,3,male,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes,0
no_checking,10,credits_paid_to_date,vacation,4647,500_to_1000,greater_7,4,female,none,4,savings_insurance,48,none,own,2,management_self-employed,1,none,yes,0
0_to_200,14,credits_paid_to_date,furniture,1252,less_100,less_1,3,female,none,3,car_other,29,none,own,1,skilled,1,none,yes,0
less_0,16,credits_paid_to_date,car_new,250,500_to_1000,4_to_7,3,female,none,3,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,0
no_checking,29,prior_payments_delayed,appliances,5594,100_to_500,4_to_7,3,male,none,4,car_other,41,bank,own,2,unskilled,1,none,yes,0
0_to_200,14,credits_paid_to_date,car_new,2130,less_100,1_to_4,2,male,none,3,car_other,34,none,own,1,management_self-employed,1,yes,yes,0
no_checking,26,prior_payments_delayed,radio_tv,6402,100_to_500,4_to_7,4,female,none,4,unknown,52,none,free,2,skilled,1,yes,yes,0
no_checking,19,credits_paid_to_date,radio_tv,4548,100_to_500,4_to_7,4,female,none,4,savings_insurance,36,none,own,1,skilled,2,yes,yes,0
no_checking,16,outstanding_credit,car_used,1946,500_to_1000,4_to_7,4,male,none,3,car_other,28,none,own,1,skilled,1,yes,yes,1
less_0,4,all_credits_paid_back,car_new,929,less_100,1_to_4,1,male,none,2,real_estate,22,stores,own,1,skilled,1,none,yes,0
0_to_200,17,credits_paid_to_date,furniture,1773,100_to_500,1_to_4,2,female,none,3,savings_insurance,30,stores,own,2,skilled,1,none,yes,1
less_0,31,credits_paid_to_date,car_used,4095,500_to_1000,1_to_4,3,female,none,1,savings_insurance,28,none,own,1,skilled,1,none,yes,0
no_checking,31,prior_payments_delayed,repairs,2535,500_to_1000,greater_7,3,female,none,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,0
0_to_200,22,credits_paid_to_date,furniture,3671,100_to_500,4_to_7,4,female,none,2,savings_insurance,23,bank,own,1,unemployed,1,none,yes,0
no_checking,17,credits_paid_to_date,radio_tv,4533,greater_1000,1_to_4,4,male,none,3,real_estate,29,none,rent,2,management_self-employed,1,none,yes,0
less_0,11,all_credits_paid_back,furniture,833,less_100,less_1,1,male,none,2,savings_insurance,37,stores,own,1,skilled,1,none,yes,0
no_checking,24,prior_payments_delayed,car_used,6415,100_to_500,1_to_4,3,female,none,4,savings_insurance,49,none,own,1,management_self-employed,1,none,yes,0
less_0,21,prior_payments_delayed,retraining,4027,greater_1000,4_to_7,4,male,none,1,savings_insurance,35,none,own,3,skilled,1,yes,yes,0
no_checking,31,prior_payments_delayed,appliances,4570,500_to_1000,less_1,3,female,none,3,real_estate,38,stores,rent,1,unskilled,1,none,yes,0
no_checking,24,outstanding_credit,business,5279,500_to_1000,4_to_7,3,male,none,4,savings_insurance,31,none,free,1,management_self-employed,1,none,yes,0
no_checking,26,prior_payments_delayed,appliances,2911,100_to_500,greater_7,4,male,none,5,savings_insurance,23,none,free,1,management_self-employed,1,none,yes,0
no_checking,28,outstanding_credit,appliances,4613,500_to_1000,greater_7,5,male,none,5,unknown,56,none,free,2,skilled,2,yes,yes,1
0_to_200,15,credits_paid_to_date,vacation,3090,less_100,1_to_4,3,female,co-applicant,1,savings_insurance,38,none,own,1,skilled,1,none,yes,0
0_to_200,8,all_credits_paid_back,car_new,5082,less_100,less_1,2,female,none,3,real_estate,19,none,own,1,management_self-employed,1,none,yes,0
no_checking,33,all_credits_paid_back,radio_tv,4420,100_to_500,less_1,4,male,none,3,real_estate,34,stores,own,1,unskilled,1,yes,yes,0
no_checking,24,prior_payments_delayed,car_used,4629,500_to_1000,less_1,2,female,none,2,car_other,46,none,free,2,skilled,1,none,yes,1
0_to_200,17,credits_paid_to_date,vacation,7582,less_100,1_to_4,3,male,none,3,car_other,40,none,own,1,management_self-employed,2,none,yes,0
less_0,14,prior_payments_delayed,retraining,2826,less_100,4_to_7,2,male,co-applicant,2,car_other,46,stores,free,2,unskilled,1,yes,yes,0
no_checking,25,prior_payments_delayed,business,6453,greater_1000,greater_7,4,male,none,3,car_other,48,none,own,2,skilled,1,none,yes,1
less_0,14,no_credits,car_new,754,100_to_500,1_to_4,2,male,none,2,real_estate,19,bank,rent,1,unemployed,1,none,yes,0
no_checking,24,all_credits_paid_back,car_new,650,greater_1000,less_1,1,male,none,4,savings_insurance,21,none,own,1,skilled,1,none,yes,0
less_0,7,prior_payments_delayed,furniture,4690,less_100,4_to_7,2,male,none,1,car_other,22,none,own,2,skilled,1,none,yes,0
no_checking,27,prior_payments_delayed,car_used,4877,500_to_1000,less_1,4,female,none,3,car_other,48,none,own,1,skilled,1,yes,yes,0
no_checking,25,prior_payments_delayed,business,2587,500_to_1000,4_to_7,2,male,none,4,savings_insurance,41,none,own,1,skilled,1,yes,yes,0
no_checking,51,outstanding_credit,education,8244,unknown,greater_7,5,male,co-applicant,4,unknown,59,none,free,3,skilled,2,yes,yes,1
less_0,21,credits_paid_to_date,furniture,2174,less_100,less_1,2,female,none,1,car_other,35,stores,own,1,skilled,1,none,yes,0
no_checking,38,outstanding_credit,repairs,5703,unknown,4_to_7,4,female,none,2,car_other,60,none,own,2,skilled,1,yes,no,1
no_checking,31,prior_payments_delayed,furniture,5116,100_to_500,4_to_7,3,male,none,3,savings_insurance,43,stores,own,2,unskilled,1,yes,yes,0
no_checking,8,prior_payments_delayed,car_used,3658,less_100,1_to_4,2,male,none,3,savings_insurance,48,none,own,1,management_self-employed,1,yes,yes,0
0_to_200,13,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,real_estate,25,stores,rent,1,skilled,1,none,yes,0
0_to_200,29,credits_paid_to_date,car_used,2711,less_100,less_1,2,male,none,2,savings_insurance,28,none,own,2,skilled,1,none,yes,0
0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,26,none,own,1,skilled,1,none,yes,0
no_checking,23,outstanding_credit,appliances,8300,500_to_1000,1_to_4,4,male,none,5,car_other,28,none,own,1,management_self-employed,1,none,yes,1
0_to_200,4,all_credits_paid_back,car_new,1704,less_100,1_to_4,3,female,none,2,car_other,19,none,own,1,skilled,1,none,yes,0
0_to_200,14,credits_paid_to_date,car_new,3148,less_100,1_to_4,3,male,none,3,car_other,41,none,own,2,skilled,1,none,yes,0
less_0,4,credits_paid_to_date,car_used,2806,100_to_500,4_to_7,3,male,none,2,car_other,24,stores,rent,2,unskilled,1,none,yes,0
0_to_200,31,credits_paid_to_date,radio_tv,3624,100_to_500,greater_7,2,male,none,1,unknown,42,stores,own,2,skilled,1,yes,yes,0
0_to_200,4,prior_payments_delayed,appliances,2280,less_100,1_to_4,2,female,none,1,car_other,33,none,own,1,skilled,1,none,yes,1
0_to_200,4,prior_payments_delayed,car_new,250,less_100,less_1,2,female,none,1,real_estate,37,none,own,1,skilled,1,yes,yes,0
greater_200,13,prior_payments_delayed,car_new,5692,less_100,less_1,2,female,none,3,savings_insurance,40,none,rent,2,skilled,1,none,yes,0
less_0,10,all_credits_paid_back,car_new,1125,less_100,unemployed,2,female,none,1,savings_insurance,25,stores,own,1,skilled,1,none,yes,0
0_to_200,26,outstanding_credit,furniture,2979,500_to_1000,4_to_7,2,male,none,3,car_other,38,stores,own,1,skilled,1,yes,yes,0
less_0,19,credits_paid_to_date,retraining,2704,less_100,4_to_7,3,female,none,1,savings_insurance,40,stores,rent,1,skilled,1,none,yes,1
no_checking,8,prior_payments_delayed,car_new,2008,greater_1000,greater_7,4,male,none,2,real_estate,27,none,own,2,skilled,1,yes,yes,0
no_checking,20,credits_paid_to_date,car_used,4846,500_to_1000,4_to_7,4,female,none,3,car_other,34,none,own,1,skilled,2,yes,yes,0
no_checking,34,credits_paid_to_date,appliances,4957,greater_1000,1_to_4,4,female,guarantor,2,real_estate,41,none,own,1,skilled,1,none,yes,0
no_checking,31,outstanding_credit,appliances,10261,500_to_1000,greater_7,5,male,co-applicant,5,car_other,51,none,free,2,management_self-employed,1,yes,yes,1
no_checking,39,prior_payments_delayed,appliances,6320,500_to_1000,4_to_7,4,male,none,4,car_other,47,stores,rent,3,unskilled,2,yes,yes,1
no_checking,31,outstanding_credit,other,5991,greater_1000,greater_7,5,male,none,4,car_other,45,stores,rent,1,unskilled,2,yes,yes,0
no_checking,44,prior_payments_delayed,repairs,8070,500_to_1000,4_to_7,5,male,co-applicant,4,car_other,28,none,free,2,skilled,1,none,yes,0
0_to_200,16,prior_payments_delayed,radio_tv,250,greater_1000,1_to_4,3,male,co-applicant,3,real_estate,50,none,rent,1,skilled,1,yes,yes,1
0_to_200,10,credits_paid_to_date,vacation,2325,less_100,unemployed,3,female,none,3,savings_insurance,22,bank,rent,1,unskilled,1,none,yes,0
no_checking,15,outstanding_credit,radio_tv,7200,100_to_500,greater_7,4,male,none,5,car_other,42,none,own,2,skilled,1,yes,yes,0
0_to_200,24,credits_paid_to_date,furniture,2912,less_100,less_1,3,male,none,3,savings_insurance,30,none,rent,2,skilled,1,none,yes,0
less_0,9,all_credits_paid_back,car_new,1928,less_100,1_to_4,2,female,none,3,real_estate,27,none,rent,1,skilled,1,none,yes,0
no_checking,41,prior_payments_delayed,furniture,8900,500_to_1000,4_to_7,4,male,co-applicant,3,car_other,26,none,free,2,skilled,1,yes,yes,1
no_checking,35,outstanding_credit,other,4367,greater_1000,greater_7,4,male,none,3,unknown,49,none,own,1,skilled,1,yes,yes,1
less_0,13,all_credits_paid_back,car_new,4243,less_100,unemployed,1,female,none,2,car_other,38,stores,own,1,skilled,1,none,yes,1
greater_200,24,outstanding_credit,appliances,4193,100_to_500,4_to_7,3,male,none,2,unknown,36,none,own,2,skilled,1,yes,yes,0
less_0,32,all_credits_paid_back,radio_tv,333,500_to_1000,4_to_7,3,female,none,1,car_other,23,stores,own,1,unskilled,1,none,yes,0
0_to_200,11,credits_paid_to_date,car_used,1139,500_to_1000,4_to_7,3,male,none,2,savings_insurance,25,none,rent,1,skilled,1,none,yes,0
0_to_200,17,prior_payments_delayed,radio_tv,2164,100_to_500,less_1,2,male,none,3,savings_insurance,36,none,own,1,management_self-employed,1,yes,yes,0
less_0,31,credits_paid_to_date,retraining,1997,less_100,1_to_4,3,male,none,3,savings_insurance,31,none,own,2,skilled,2,none,yes,0
less_0,8,all_credits_paid_back,car_new,1608,less_100,unemployed,2,female,none,3,savings_insurance,22,none,rent,1,skilled,1,none,yes,0
greater_200,21,outstanding_credit,business,5668,100_to_500,4_to_7,3,male,none,2,unknown,36,bank,own,1,unskilled,1,none,yes,1
less_0,11,all_credits_paid_back,car_new,250,less_100,less_1,1,female,none,2,savings_insurance,25,stores,rent,1,skilled,1,none,yes,0
no_checking,17,credits_paid_to_date,radio_tv,6354,less_100,1_to_4,3,female,none,4,unknown,32,none,own,2,skilled,1,none,yes,1
no_checking,35,outstanding_credit,repairs,7687,500_to_1000,greater_7,4,male,co-applicant,5,unknown,49,none,free,2,skilled,1,yes,yes,1
no_checking,41,outstanding_credit,education,7971,greater_1000,greater_7,5,male,co-applicant,5,unknown,56,none,free,3,skilled,2,yes,yes,1
no_checking,36,prior_payments_delayed,appliances,2433,500_to_1000,4_to_7,3,male,none,4,savings_insurance,40,none,own,1,skilled,2,yes,yes,0
less_0,21,prior_payments_delayed,furniture,2641,greater_1000,less_1,1,male,none,2,savings_insurance,28,stores,own,1,skilled,1,none,yes,0
no_checking,44,prior_payments_delayed,radio_tv,6100,500_to_1000,greater_7,5,male,co-applicant,5,savings_insurance,52,none,free,2,skilled,1,yes,yes,1
no_checking,41,prior_payments_delayed,vacation,5887,500_to_1000,greater_7,4,male,none,4,unknown,47,none,free,2,skilled,1,yes,yes,1
no_checking,31,prior_payments_delayed,radio_tv,6568,100_to_500,less_1,4,male,none,5,car_other,31,none,own,1,management_self-employed,1,none,yes,0
less_0,26,credits_paid_to_date,car_used,3243,less_100,1_to_4,3,male,none,3,car_other,36,none,own,1,skilled,1,none,yes,1
less_0,36,outstanding_credit,appliances,4425,unknown,greater_7,3,female,none,4,unknown,46,stores,free,2,skilled,2,yes,yes,1
less_0,21,prior_payments_delayed,radio_tv,3451,less_100,4_to_7,3,male,none,2,car_other,33,none,own,2,skilled,1,none,yes,0
less_0,20,prior_payments_delayed,radio_tv,1475,less_100,1_to_4,3,male,none,3,car_other,29,bank,rent,1,unskilled,1,none,yes,0
no_checking,17,credits_paid_to_date,radio_tv,2871,100_to_500,1_to_4,3,male,none,4,savings_insurance,49,none,own,1,management_self-employed,1,none,yes,0
less_0,21,all_credits_paid_back,radio_tv,435,500_to_1000,less_1,1,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,0
no_checking,25,prior_payments_delayed,car_used,5992,unknown,4_to_7,4,male,none,4,savings_insurance,38,none,own,2,management_self-employed,2,yes,yes,1
0_to_200,20,credits_paid_to_date,car_new,3413,less_100,4_to_7,4,male,none,4,savings_insurance,35,none,own,1,skilled,1,yes,yes,0
no_checking,31,prior_payments_delayed,furniture,7410,unknown,4_to_7,3,male,co-applicant,3,savings_insurance,39,none,own,2,skilled,1,none,yes,1
0_to_200,10,credits_paid_to_date,car_used,250,less_100,less_1,1,female,none,2,real_estate,30,stores,own,1,skilled,1,none,yes,0
less_0,18,prior_payments_delayed,retraining,4032,less_100,1_to_4,2,female,none,2,car_other,36,none,rent,1,skilled,1,none,yes,0
less_0,29,credits_paid_to_date,furniture,2440,less_100,4_to_7,3,male,none,3,savings_insurance,39,none,own,1,skilled,1,yes,yes,1
