CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker
no_checking,29,outstanding_credit,radio_tv,9276,500_to_1000,1_to_4,4,male,co-applicant,4,unknown,55,none,free,3,management_self-employed,1,yes,yes
0_to_200,4,all_credits_paid_back,car_new,268,less_100,1_to_4,2,female,none,3,real_estate,44,none,own,1,skilled,1,none,yes
less_0,16,credits_paid_to_date,car_new,1784,500_to_1000,unemployed,1,male,none,3,savings_insurance,27,bank,rent,1,unemployed,1,none,yes
0_to_200,19,credits_paid_to_date,car_used,1597,500_to_1000,4_to_7,2,female,co-applicant,3,car_other,38,stores,own,1,unskilled,1,none,yes
less_0,10,credits_paid_to_date,radio_tv,2801,less_100,1_to_4,1,female,none,2,car_other,35,stores,own,1,skilled,1,none,yes
no_checking,26,prior_payments_delayed,car_used,3377,100_to_500,1_to_4,3,female,none,3,car_other,32,none,own,1,skilled,1,yes,yes
0_to_200,17,credits_paid_to_date,car_used,1870,less_100,1_to_4,2,male,none,2,savings_insurance,35,none,own,1,skilled,1,none,yes
less_0,21,prior_payments_delayed,car_used,5055,less_100,greater_7,4,male,none,4,unknown,36,none,own,1,skilled,2,yes,yes
no_checking,27,outstanding_credit,furniture,4897,500_to_1000,4_to_7,4,male,none,5,car_other,45,none,own,2,management_self-employed,1,none,yes
no_checking,42,prior_payments_delayed,repairs,6016,500_to_1000,4_to_7,5,male,co-applicant,4,car_other,54,none,free,2,management_self-employed,2,yes,yes
less_0,12,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,1,real_estate,32,stores,own,1,skilled,1,none,yes
greater_200,9,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,37,none,own,1,skilled,1,none,yes
less_0,11,credits_paid_to_date,furniture,1732,less_100,less_1,2,male,none,1,car_other,32,stores,own,1,skilled,1,none,yes
0_to_200,4,prior_payments_delayed,car_new,250,500_to_1000,4_to_7,3,male,none,2,car_other,43,stores,own,2,skilled,1,yes,yes
less_0,12,all_credits_paid_back,furniture,1892,100_to_500,less_1,2,female,none,3,savings_insurance,31,none,own,2,skilled,1,none,yes
less_0,13,all_credits_paid_back,furniture,250,500_to_1000,4_to_7,3,male,none,1,car_other,36,none,own,2,skilled,1,none,yes
0_to_200,24,prior_payments_delayed,radio_tv,3395,100_to_500,4_to_7,4,male,none,2,savings_insurance,30,none,own,1,skilled,2,yes,yes
no_checking,18,outstanding_credit,business,8893,100_to_500,greater_7,5,male,none,5,unknown,36,none,free,3,management_self-employed,1,yes,yes
no_checking,27,prior_payments_delayed,appliances,5407,100_to_500,4_to_7,4,male,none,4,car_other,41,stores,own,1,unskilled,1,none,yes
0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,real_estate,19,none,rent,1,management_self-employed,1,none,yes
no_checking,50,outstanding_credit,repairs,6822,unknown,greater_7,6,male,guarantor,5,unknown,57,none,free,3,skilled,2,yes,yes
no_checking,27,outstanding_credit,radio_tv,2560,500_to_1000,4_to_7,4,male,none,4,savings_insurance,36,stores,own,1,unskilled,1,yes,yes
greater_200,19,credits_paid_to_date,vacation,5214,less_100,less_1,3,male,co-applicant,4,savings_insurance,33,none,free,2,management_self-employed,1,none,no
no_checking,22,prior_payments_delayed,radio_tv,3003,100_to_500,greater_7,4,male,none,4,real_estate,33,none,own,2,skilled,1,yes,yes
no_checking,56,outstanding_credit,appliances,9151,unknown,greater_7,6,male,co-applicant,4,car_other,48,none,own,2,skilled,2,none,no
no_checking,34,outstanding_credit,furniture,4476,500_to_1000,greater_7,4,male,none,3,savings_insurance,32,stores,own,1,unskilled,1,none,yes
less_0,18,credits_paid_to_date,vacation,1588,500_to_1000,4_to_7,3,male,none,3,car_other,30,bank,own,1,unemployed,1,yes,yes
no_checking,21,prior_payments_delayed,car_used,4049,100_to_500,greater_7,4,male,none,4,savings_insurance,28,none,own,1,skilled,2,yes,yes
less_0,24,credits_paid_to_date,car_new,3464,less_100,4_to_7,3,male,guarantor,3,savings_insurance,37,none,own,1,skilled,1,yes,yes
greater_200,4,credits_paid_to_date,car_new,250,500_to_1000,1_to_4,3,female,none,3,real_estate,22,none,own,1,skilled,1,none,yes
no_checking,26,outstanding_credit,furniture,7394,unknown,greater_7,4,male,co-applicant,5,car_other,50,none,own,3,skilled,2,yes,no
0_to_200,24,outstanding_credit,appliances,1056,100_to_500,greater_7,4,male,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes
no_checking,37,prior_payments_delayed,radio_tv,5153,500_to_1000,4_to_7,4,male,none,5,car_other,49,none,own,2,management_self-employed,1,yes,yes
less_0,10,all_credits_paid_back,car_new,1771,less_100,1_to_4,2,female,none,3,savings_insurance,39,none,own,1,skilled,1,none,yes
0_to_200,22,outstanding_credit,radio_tv,5876,greater_1000,greater_7,4,male,none,4,unknown,45,none,own,2,skilled,1,yes,yes
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes
no_checking,30,prior_payments_delayed,appliances,5614,unknown,greater_7,5,male,none,5,car_other,46,none,free,2,skilled,2,yes,yes
less_0,4,credits_paid_to_date,car_new,839,less_100,unemployed,1,female,none,1,savings_insurance,33,none,own,1,skilled,1,none,yes
greater_200,22,outstanding_credit,appliances,4013,greater_1000,4_to_7,3,male,none,2,car_other,43,none,free,2,skilled,2,yes,yes
0_to_200,13,credits_paid_to_date,car_new,907,less_100,less_1,2,male,none,3,savings_insurance,28,stores,own,1,skilled,1,none,yes
less_0,15,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,2,male,none,3,savings_insurance,26,stores,rent,1,skilled,1,none,yes
greater_200,9,credits_paid_to_date,furniture,297,less_100,less_1,3,female,none,2,real_estate,25,none,rent,1,management_self-employed,1,none,yes
0_to_200,23,credits_paid_to_date,car_new,3085,less_100,less_1,3,male,none,2,savings_insurance,37,none,rent,1,skilled,1,none,yes
0_to_200,18,credits_paid_to_date,furniture,2572,500_to_1000,4_to_7,3,female,none,3,real_estate,29,none,rent,2,skilled,1,none,yes
no_checking,42,prior_payments_delayed,vacation,6531,500_to_1000,1_to_4,4,male,co-applicant,4,unknown,49,none,free,2,skilled,1,yes,yes
0_to_200,10,prior_payments_delayed,furniture,250,100_to_500,less_1,2,male,none,3,savings_insurance,29,stores,rent,1,skilled,2,none,yes
0_to_200,25,outstanding_credit,car_used,2585,500_to_1000,greater_7,4,male,none,3,unknown,39,none,own,2,skilled,1,yes,yes
less_0,16,prior_payments_delayed,radio_tv,3975,500_to_1000,1_to_4,3,male,none,2,car_other,35,bank,rent,2,unemployed,1,none,yes
less_0,41,prior_payments_delayed,furniture,4764,greater_1000,less_1,3,female,none,3,unknown,30,bank,own,2,unskilled,1,none,yes
no_checking,19,credits_paid_to_date,car_new,5375,100_to_500,less_1,4,female,co-applicant,3,real_estate,51,none,own,1,management_self-employed,2,yes,no
no_checking,35,prior_payments_delayed,appliances,5478,500_to_1000,less_1,4,male,none,3,car_other,47,stores,own,2,unskilled,1,yes,yes
0_to_200,16,credits_paid_to_date,vacation,986,less_100,less_1,3,male,none,2,real_estate,19,none,own,1,skilled,1,none,yes
0_to_200,16,credits_paid_to_date,car_new,1230,500_to_1000,1_to_4,2,female,none,3,savings_insurance,31,stores,own,1,skilled,2,yes,yes
less_0,4,all_credits_paid_back,vacation,1026,less_100,1_to_4,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes
no_checking,24,prior_payments_delayed,car_used,3812,unknown,4_to_7,4,male,none,3,unknown,45,none,own,2,skilled,1,none,yes
no_checking,16,credits_paid_to_date,furniture,1530,100_to_500,1_to_4,3,male,none,4,real_estate,30,none,own,1,management_self-employed,1,none,yes
no_checking,36,credits_paid_to_date,furniture,5024,100_to_500,greater_7,4,male,none,4,car_other,47,none,own,2,skilled,1,none,yes
no_checking,23,prior_payments_delayed,radio_tv,5214,500_to_1000,4_to_7,3,male,none,4,savings_insurance,50,none,own,1,management_self-employed,1,none,yes
0_to_200,22,credits_paid_to_date,repairs,1883,less_100,1_to_4,3,male,none,2,savings_insurance,26,bank,rent,1,unskilled,1,none,yes
no_checking,32,prior_payments_delayed,appliances,2160,500_to_1000,4_to_7,3,male,none,2,car_other,37,none,own,1,skilled,1,none,yes
less_0,9,prior_payments_delayed,vacation,7128,500_to_1000,1_to_4,3,male,none,3,car_other,32,none,own,2,management_self-employed,1,yes,yes
less_0,4,all_credits_paid_back,repairs,250,less_100,less_1,1,male,none,1,real_estate,19,bank,rent,1,unemployed,1,none,yes
less_0,45,credits_paid_to_date,other,5036,less_100,less_1,3,male,none,3,savings_insurance,29,none,own,2,skilled,1,none,yes
less_0,12,credits_paid_to_date,furniture,250,500_to_1000,1_to_4,1,male,none,1,real_estate,23,stores,rent,1,unskilled,1,none,yes
less_0,29,credits_paid_to_date,furniture,2370,less_100,4_to_7,2,male,none,1,unknown,31,bank,own,1,unskilled,1,yes,yes
0_to_200,9,all_credits_paid_back,furniture,652,less_100,1_to_4,1,female,none,1,savings_insurance,35,none,own,1,skilled,1,yes,yes
no_checking,31,outstanding_credit,appliances,7981,greater_1000,greater_7,4,male,co-applicant,5,car_other,45,none,own,2,management_self-employed,2,none,yes
less_0,4,prior_payments_delayed,car_used,1212,500_to_1000,4_to_7,2,male,none,1,car_other,49,none,own,1,skilled,1,none,yes
no_checking,34,outstanding_credit,vacation,5344,500_to_1000,greater_7,5,male,none,3,unknown,50,none,free,2,skilled,1,yes,yes
less_0,15,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,24,stores,rent,1,skilled,1,none,yes
less_0,11,prior_payments_delayed,furniture,3043,500_to_1000,greater_7,2,male,none,2,car_other,35,stores,own,2,skilled,1,none,no
no_checking,38,outstanding_credit,furniture,6080,500_to_1000,4_to_7,5,male,co-applicant,5,savings_insurance,27,none,own,1,skilled,2,none,yes
0_to_200,19,prior_payments_delayed,radio_tv,3243,greater_1000,less_1,3,male,none,4,car_other,38,none,own,2,skilled,1,none,yes
