CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker
no_checking,25,prior_payments_delayed,car_used,6780,greater_1000,4_to_7,4,male,none,3,unknown,46,stores,own,2,unskilled,2,none,yes
no_checking,19,credits_paid_to_date,car_new,6630,100_to_500,1_to_4,2,male,none,4,car_other,50,none,own,2,management_self-employed,1,yes,yes
less_0,18,credits_paid_to_date,car_new,250,greater_1000,4_to_7,1,female,none,2,savings_insurance,19,stores,rent,1,unskilled,1,none,yes
no_checking,9,prior_payments_delayed,radio_tv,6203,100_to_500,4_to_7,4,female,none,4,savings_insurance,39,stores,own,2,unskilled,2,yes,yes
less_0,9,prior_payments_delayed,car_new,250,less_100,4_to_7,1,female,none,1,real_estate,29,stores,own,1,skilled,1,none,yes
0_to_200,15,credits_paid_to_date,furniture,1347,less_100,4_to_7,2,male,none,2,real_estate,34,bank,rent,1,unemployed,1,none,yes
less_0,10,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes
0_to_200,26,credits_paid_to_date,car_new,1950,500_to_1000,1_to_4,3,female,none,2,real_estate,32,none,rent,1,skilled,1,none,yes
no_checking,28,prior_payments_delayed,car_used,4387,100_to_500,1_to_4,4,male,none,3,car_other,46,none,own,2,management_self-employed,1,yes,yes
less_0,9,all_credits_paid_back,car_used,250,100_to_500,unemployed,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes
greater_200,20,credits_paid_to_date,car_new,4767,less_100,4_to_7,2,male,none,3,savings_insurance,38,none,own,1,management_self-employed,2,none,yes
no_checking,25,prior_payments_delayed,radio_tv,5015,100_to_500,1_to_4,3,male,none,4,car_other,45,stores,own,1,unskilled,1,yes,yes
0_to_200,4,all_credits_paid_back,radio_tv,250,less_100,less_1,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes
no_checking,33,outstanding_credit,other,8575,unknown,4_to_7,5,male,none,4,unknown,45,stores,free,2,unskilled,2,yes,yes
greater_200,10,credits_paid_to_date,furniture,3176,less_100,less_1,2,female,none,2,real_estate,19,stores,own,1,skilled,1,none,yes
0_to_200,12,credits_paid_to_date,vacation,3189,500_to_1000,4_to_7,3,female,co-applicant,1,savings_insurance,34,bank,own,2,unemployed,1,none,yes
no_checking,36,outstanding_credit,appliances,5671,unknown,1_to_4,4,male,none,5,car_other,41,none,own,2,skilled,2,yes,yes
0_to_200,22,all_credits_paid_back,car_new,3147,100_to_500,1_to_4,3,male,none,4,car_other,34,none,own,1,skilled,1,yes,yes
no_checking,22,credits_paid_to_date,furniture,5043,greater_1000,1_to_4,4,male,none,4,savings_insurance,30,none,own,2,management_self-employed,1,none,yes
less_0,8,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,2,savings_insurance,23,none,rent,1,skilled,1,none,yes
no_checking,35,prior_payments_delayed,radio_tv,8608,100_to_500,1_to_4,4,male,none,4,unknown,48,none,free,2,skilled,1,yes,yes
less_0,9,all_credits_paid_back,vacation,3484,less_100,less_1,3,male,co-applicant,3,savings_insurance,30,stores,own,1,unskilled,1,yes,yes
no_checking,19,credits_paid_to_date,radio_tv,1426,less_100,less_1,1,female,none,3,real_estate,22,none,own,1,skilled,1,none,yes
no_checking,31,outstanding_credit,radio_tv,5945,unknown,4_to_7,4,male,none,4,savings_insurance,47,none,own,2,skilled,1,none,yes
0_to_200,18,credits_paid_to_date,furniture,3182,500_to_1000,less_1,3,female,none,3,real_estate,25,bank,rent,1,unskilled,1,none,yes
0_to_200,21,all_credits_paid_back,car_new,1092,less_100,1_to_4,2,female,none,1,real_estate,26,stores,own,2,skilled,1,none,yes
no_checking,38,prior_payments_delayed,repairs,6353,unknown,greater_7,4,male,co-applicant,3,car_other,31,none,own,2,skilled,1,yes,yes
less_0,4,credits_paid_to_date,radio_tv,250,less_100,unemployed,1,male,none,1,real_estate,40,stores,rent,1,unskilled,1,none,yes
no_checking,29,prior_payments_delayed,car_used,5844,greater_1000,1_to_4,3,male,none,4,savings_insurance,48,none,own,2,skilled,1,yes,yes
less_0,15,prior_payments_delayed,furniture,1163,less_100,4_to_7,3,male,none,3,savings_insurance,33,none,own,2,skilled,1,none,yes
less_0,16,credits_paid_to_date,car_used,1418,less_100,unemployed,2,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes
no_checking,33,prior_payments_delayed,radio_tv,7341,500_to_1000,1_to_4,3,male,none,4,car_other,40,none,own,2,skilled,1,yes,yes
less_0,17,credits_paid_to_date,car_new,1382,less_100,less_1,2,male,none,3,savings_insurance,19,none,own,1,skilled,1,none,yes
no_checking,49,outstanding_credit,radio_tv,6731,greater_1000,4_to_7,5,male,co-applicant,4,car_other,27,none,free,2,skilled,1,none,yes
no_checking,30,prior_payments_delayed,business,6048,100_to_500,1_to_4,4,male,none,4,car_other,43,none,own,2,management_self-employed,1,yes,yes
no_checking,28,prior_payments_delayed,appliances,5105,unknown,1_to_4,4,male,none,2,car_other,60,stores,own,2,unemployed,2,yes,yes
less_0,9,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,3,savings_insurance,19,stores,own,1,skilled,1,none,yes
no_checking,27,outstanding_credit,appliances,6304,500_to_1000,greater_7,5,male,co-applicant,5,unknown,54,none,free,3,management_self-employed,2,yes,yes
less_0,15,prior_payments_delayed,car_new,593,less_100,4_to_7,3,male,none,3,car_other,31,none,own,1,skilled,1,yes,yes
0_to_200,19,prior_payments_delayed,radio_tv,878,100_to_500,less_1,2,male,none,3,savings_insurance,31,none,own,1,skilled,1,none,yes
no_checking,30,prior_payments_delayed,radio_tv,6599,greater_1000,greater_7,5,male,none,4,unknown,41,none,free,2,skilled,1,yes,yes
greater_200,19,credits_paid_to_date,car_new,1372,less_100,1_to_4,2,female,none,2,car_other,24,stores,own,1,skilled,1,none,yes
no_checking,37,prior_payments_delayed,repairs,4959,500_to_1000,greater_7,4,male,none,3,savings_insurance,41,bank,own,1,unemployed,1,none,no
0_to_200,31,outstanding_credit,radio_tv,3043,100_to_500,4_to_7,3,female,none,2,savings_insurance,37,stores,own,2,skilled,1,yes,yes
0_to_200,22,credits_paid_to_date,car_new,592,less_100,less_1,1,female,none,3,savings_insurance,20,stores,own,1,skilled,1,none,yes
greater_200,40,outstanding_credit,appliances,4817,500_to_1000,greater_7,5,male,none,5,car_other,49,none,free,2,skilled,1,yes,yes
no_checking,25,outstanding_credit,appliances,5862,500_to_1000,greater_7,4,male,guarantor,5,car_other,59,none,free,2,skilled,1,yes,yes
no_checking,36,prior_payments_delayed,appliances,6696,500_to_1000,4_to_7,3,female,none,2,unknown,44,none,own,2,skilled,1,yes,yes
0_to_200,33,prior_payments_delayed,appliances,2048,unknown,1_to_4,2,male,none,2,savings_insurance,26,stores,own,1,unskilled,1,none,yes
less_0,40,outstanding_credit,appliances,2734,greater_1000,4_to_7,4,male,none,4,unknown,36,stores,own,2,skilled,1,yes,yes
no_checking,37,prior_payments_delayed,other,6991,500_to_1000,greater_7,4,male,co-applicant,4,unknown,49,none,free,2,skilled,1,yes,yes
0_to_200,20,prior_payments_delayed,radio_tv,2295,500_to_1000,greater_7,4,male,none,3,savings_insurance,39,none,own,1,skilled,1,yes,yes
no_checking,32,all_credits_paid_back,radio_tv,4151,100_to_500,less_1,4,female,none,3,savings_insurance,48,none,own,1,skilled,1,yes,yes
0_to_200,31,outstanding_credit,vacation,5622,100_to_500,1_to_4,4,female,none,2,unknown,39,none,free,2,skilled,1,none,yes
no_checking,41,prior_payments_delayed,repairs,7497,unknown,greater_7,5,male,co-applicant,4,car_other,47,none,free,2,skilled,1,none,no
no_checking,36,prior_payments_delayed,appliances,3960,greater_1000,greater_7,4,female,none,3,savings_insurance,46,none,own,2,management_self-employed,1,none,no
no_checking,33,prior_payments_delayed,vacation,7651,unknown,greater_7,4,male,co-applicant,3,car_other,46,none,own,2,skilled,2,yes,yes
0_to_200,21,credits_paid_to_date,radio_tv,1576,greater_1000,4_to_7,3,male,none,2,real_estate,44,none,own,2,skilled,1,none,yes
greater_200,29,outstanding_credit,education,4885,500_to_1000,greater_7,5,female,none,3,car_other,41,none,own,2,skilled,1,yes,yes
0_to_200,14,credits_paid_to_date,car_used,1397,500_to_1000,less_1,2,male,none,3,car_other,46,none,own,2,skilled,1,yes,yes
less_0,11,all_credits_paid_back,car_used,261,less_100,unemployed,2,female,none,1,real_estate,20,none,rent,2,skilled,1,none,yes
less_0,15,prior_payments_delayed,furniture,4496,less_100,1_to_4,3,male,none,3,savings_insurance,32,none,own,1,skilled,1,yes,yes
no_checking,26,prior_payments_delayed,radio_tv,1631,100_to_500,1_to_4,2,male,none,2,real_estate,45,bank,own,1,unskilled,2,yes,yes
less_0,4,all_credits_paid_back,car_used,432,less_100,less_1,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes
0_to_200,14,credits_paid_to_date,car_new,2886,100_to_500,unemployed,1,male,none,1,savings_insurance,29,stores,own,1,skilled,1,none,yes
no_checking,26,all_credits_paid_back,radio_tv,4589,less_100,4_to_7,4,male,none,4,car_other,31,none,own,1,management_self-employed,1,none,yes
no_checking,34,outstanding_credit,radio_tv,7180,greater_1000,greater_7,4,male,co-applicant,3,unknown,59,none,free,2,skilled,2,yes,yes
less_0,15,credits_paid_to_date,car_new,1696,less_100,4_to_7,2,female,none,3,savings_insurance,35,bank,rent,1,unemployed,1,yes,yes
less_0,4,no_credits,car_new,250,less_100,less_1,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes
less_0,11,all_credits_paid_back,car_new,259,less_100,4_to_7,3,male,none,2,real_estate,19,none,own,1,skilled,1,none,yes
no_checking,19,credits_paid_to_date,furniture,2094,greater_1000,1_to_4,2,male,none,3,savings_insurance,37,none,own,1,skilled,1,none,yes
0_to_200,14,credits_paid_to_date,car_used,1144,100_to_500,less_1,2,female,none,2,real_estate,33,none,rent,1,skilled,1,none,yes
no_checking,8,credits_paid_to_date,appliances,3639,500_to_1000,less_1,2,female,none,3,real_estate,31,none,own,1,skilled,1,none,yes
0_to_200,29,credits_paid_to_date,furniture,6343,500_to_1000,1_to_4,3,male,none,2,savings_insurance,34,bank,own,2,unskilled,1,none,yes
no_checking,31,prior_payments_delayed,appliances,5060,100_to_500,4_to_7,3,male,none,3,unknown,50,none,own,2,management_self-employed,1,yes,yes
less_0,15,credits_paid_to_date,retraining,4158,less_100,less_1,2,female,none,3,savings_insurance,33,none,rent,1,skilled,1,none,yes
0_to_200,4,all_credits_paid_back,car_new,332,less_100,1_to_4,2,male,none,3,real_estate,19,none,rent,1,management_self-employed,1,none,yes
no_checking,8,credits_paid_to_date,furniture,2607,100_to_500,4_to_7,2,male,none,4,savings_insurance,34,none,rent,2,skilled,2,yes,yes
0_to_200,10,prior_payments_delayed,furniture,1961,greater_1000,1_to_4,2,female,none,1,real_estate,29,bank,rent,1,unemployed,1,none,yes
no_checking,31,outstanding_credit,other,9225,500_to_1000,greater_7,4,male,co-applicant,3,unknown,50,none,own,2,skilled,1,yes,yes
less_0,10,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,3,female,none,1,car_other,30,stores,own,1,skilled,1,none,yes
no_checking,28,outstanding_credit,appliances,6510,500_to_1000,4_to_7,4,male,guarantor,4,unknown,59,stores,own,1,unskilled,1,yes,yes
no_checking,26,prior_payments_delayed,radio_tv,4426,100_to_500,greater_7,3,female,none,3,car_other,46,bank,rent,2,unemployed,1,none,yes
0_to_200,15,all_credits_paid_back,car_new,1380,100_to_500,less_1,2,female,none,2,real_estate,24,none,rent,1,skilled,1,none,yes
no_checking,35,outstanding_credit,repairs,7215,500_to_1000,greater_7,4,male,co-applicant,4,unknown,51,none,free,2,skilled,1,yes,yes
no_checking,14,prior_payments_delayed,radio_tv,6774,100_to_500,4_to_7,4,female,none,3,car_other,32,none,own,2,management_self-employed,1,none,yes
no_checking,14,outstanding_credit,radio_tv,1582,greater_1000,less_1,2,male,none,3,savings_insurance,34,none,own,1,skilled,1,none,yes
less_0,22,prior_payments_delayed,car_used,250,100_to_500,4_to_7,2,female,none,2,car_other,29,stores,own,1,unskilled,1,none,yes
less_0,12,all_credits_paid_back,furniture,1851,less_100,1_to_4,3,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes
less_0,8,all_credits_paid_back,car_used,1895,less_100,less_1,2,female,none,2,real_estate,39,stores,own,1,unskilled,1,none,yes
no_checking,33,outstanding_credit,other,5853,500_to_1000,1_to_4,4,male,none,5,car_other,38,stores,own,2,unskilled,1,yes,yes
no_checking,37,prior_payments_delayed,vacation,6436,500_to_1000,greater_7,5,female,none,5,car_other,41,none,free,2,management_self-employed,2,yes,yes
0_to_200,19,credits_paid_to_date,car_new,4349,500_to_1000,less_1,3,male,none,2,car_other,23,bank,own,2,unskilled,2,yes,yes
no_checking,28,outstanding_credit,radio_tv,6609,500_to_1000,4_to_7,4,male,none,5,unknown,51,none,free,2,management_self-employed,1,yes,yes
less_0,9,no_credits,radio_tv,2084,less_100,unemployed,1,female,none,1,real_estate,36,none,rent,1,skilled,1,none,yes
less_0,17,credits_paid_to_date,car_new,2050,less_100,1_to_4,2,female,co-applicant,3,real_estate,29,stores,own,1,skilled,1,none,yes
less_0,11,prior_payments_delayed,furniture,1546,500_to_1000,4_to_7,3,male,none,3,savings_insurance,28,none,own,2,skilled,1,yes,yes
0_to_200,15,all_credits_paid_back,appliances,5566,100_to_500,less_1,2,male,none,2,car_other,33,stores,rent,2,unskilled,1,none,yes
0_to_200,26,credits_paid_to_date,radio_tv,6158,less_100,4_to_7,4,male,none,4,car_other,51,none,own,2,skilled,1,yes,yes
0_to_200,30,credits_paid_to_date,business,788,100_to_500,1_to_4,3,female,co-applicant,2,savings_insurance,33,stores,free,1,unskilled,1,yes,yes
no_checking,25,prior_payments_delayed,car_used,5995,greater_1000,4_to_7,4,male,none,3,car_other,47,none,own,2,skilled,2,yes,yes
no_checking,59,outstanding_credit,appliances,7118,unknown,greater_7,5,male,guarantor,4,unknown,50,none,free,2,skilled,2,yes,yes
no_checking,11,outstanding_credit,furniture,3389,100_to_500,1_to_4,3,male,none,4,unknown,39,none,own,2,management_self-employed,1,yes,yes
no_checking,37,prior_payments_delayed,repairs,5751,500_to_1000,4_to_7,3,male,none,5,car_other,47,none,free,2,management_self-employed,1,yes,yes
no_checking,37,prior_payments_delayed,appliances,3626,500_to_1000,1_to_4,2,female,none,4,savings_insurance,47,none,free,2,skilled,2,yes,yes
no_checking,26,prior_payments_delayed,appliances,2618,100_to_500,4_to_7,3,male,none,4,car_other,25,none,own,1,management_self-employed,1,yes,yes
less_0,8,all_credits_paid_back,vacation,250,100_to_500,1_to_4,2,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes
0_to_200,24,credits_paid_to_date,business,703,greater_1000,1_to_4,3,female,none,2,real_estate,20,none,own,1,skilled,1,none,yes
less_0,16,credits_paid_to_date,car_new,4211,100_to_500,1_to_4,3,male,none,3,car_other,28,none,own,2,skilled,1,none,yes
0_to_200,13,credits_paid_to_date,vacation,250,less_100,less_1,2,female,none,3,real_estate,19,bank,rent,1,unskilled,1,none,yes
no_checking,27,prior_payments_delayed,car_used,4893,100_to_500,1_to_4,4,male,none,5,savings_insurance,44,none,own,2,management_self-employed,1,none,yes
no_checking,27,outstanding_credit,furniture,7261,500_to_1000,greater_7,5,male,guarantor,5,car_other,65,stores,own,2,unskilled,1,yes,no
less_0,4,credits_paid_to_date,education,251,less_100,4_to_7,3,male,none,2,savings_insurance,34,none,own,2,management_self-employed,1,yes,yes
0_to_200,4,no_credits,car_new,4488,less_100,unemployed,2,male,none,1,savings_insurance,39,none,own,2,skilled,1,none,yes
less_0,14,prior_payments_delayed,furniture,1072,less_100,1_to_4,1,male,none,3,savings_insurance,32,stores,own,1,skilled,1,none,yes
0_to_200,21,outstanding_credit,radio_tv,3364,100_to_500,1_to_4,2,female,none,1,savings_insurance,44,stores,rent,2,skilled,2,yes,yes
0_to_200,13,credits_paid_to_date,car_new,5740,less_100,less_1,2,male,none,3,unknown,35,none,own,1,skilled,2,none,yes
0_to_200,5,prior_payments_delayed,car_new,250,less_100,4_to_7,3,male,none,2,real_estate,24,none,own,1,skilled,1,none,yes
0_to_200,29,outstanding_credit,radio_tv,3668,100_to_500,greater_7,3,male,none,2,unknown,40,none,own,2,skilled,1,none,yes
less_0,15,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,2,savings_insurance,19,stores,rent,1,skilled,1,none,yes
less_0,8,prior_payments_delayed,vacation,3335,less_100,less_1,2,female,none,3,savings_insurance,27,bank,rent,1,unskilled,1,none,yes
less_0,7,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,real_estate,21,bank,own,1,unskilled,1,none,yes
less_0,14,all_credits_paid_back,car_used,1872,less_100,less_1,2,female,none,2,savings_insurance,23,none,own,1,skilled,1,none,yes
0_to_200,35,prior_payments_delayed,radio_tv,3410,100_to_500,1_to_4,3,female,none,3,real_estate,31,none,own,1,skilled,1,yes,yes
0_to_200,16,credits_paid_to_date,car_new,3181,less_100,4_to_7,3,male,none,2,car_other,40,none,own,2,skilled,1,none,no
no_checking,19,credits_paid_to_date,radio_tv,4459,100_to_500,4_to_7,4,female,none,3,real_estate,36,none,own,1,skilled,1,none,yes
no_checking,33,prior_payments_delayed,furniture,2008,unknown,1_to_4,4,female,none,2,car_other,38,none,rent,2,skilled,1,none,yes
no_checking,29,credits_paid_to_date,business,6417,100_to_500,1_to_4,4,male,none,4,savings_insurance,40,none,own,1,management_self-employed,1,none,yes
0_to_200,18,all_credits_paid_back,car_new,250,500_to_1000,less_1,2,male,co-applicant,3,savings_insurance,23,stores,own,1,unskilled,1,none,yes
0_to_200,13,credits_paid_to_date,car_new,3967,less_100,less_1,3,female,none,3,savings_insurance,32,none,own,1,skilled,1,yes,yes
less_0,17,credits_paid_to_date,furniture,250,100_to_500,1_to_4,2,male,none,1,real_estate,29,none,rent,1,skilled,1,none,yes
0_to_200,18,credits_paid_to_date,furniture,1345,less_100,4_to_7,2,male,none,1,real_estate,27,none,rent,1,skilled,1,none,yes
0_to_200,4,all_credits_paid_back,car_new,250,500_to_1000,unemployed,1,male,none,1,real_estate,24,none,rent,1,skilled,1,none,yes
no_checking,11,credits_paid_to_date,furniture,1623,greater_1000,1_to_4,2,male,none,2,real_estate,42,none,own,1,skilled,1,none,yes
0_to_200,19,credits_paid_to_date,furniture,4905,less_100,1_to_4,2,male,none,3,car_other,19,none,rent,1,skilled,1,none,yes
less_0,15,credits_paid_to_date,car_new,2326,500_to_1000,less_1,2,male,none,3,car_other,28,stores,rent,1,unskilled,1,yes,yes
no_checking,30,outstanding_credit,appliances,3319,greater_1000,greater_7,4,female,none,3,unknown,33,none,own,1,skilled,2,yes,yes
0_to_200,19,credits_paid_to_date,car_new,250,100_to_500,4_to_7,3,male,none,3,savings_insurance,36,none,own,3,skilled,1,none,yes
greater_200,16,credits_paid_to_date,furniture,2241,less_100,4_to_7,3,male,none,3,car_other,24,none,own,2,skilled,1,yes,no
0_to_200,19,credits_paid_to_date,retraining,5368,less_100,4_to_7,3,female,none,1,unknown,42,none,own,1,skilled,2,none,yes
greater_200,22,outstanding_credit,car_used,6289,500_to_1000,4_to_7,3,male,none,3,car_other,40,none,own,3,skilled,1,yes,yes
no_checking,37,prior_payments_delayed,vacation,5180,500_to_1000,1_to_4,3,female,none,4,car_other,46,none,own,2,skilled,1,none,yes
less_0,4,credits_paid_to_date,car_used,1657,less_100,less_1,2,female,none,3,savings_insurance,20,none,rent,1,skilled,1,none,yes
no_checking,17,outstanding_credit,education,2042,500_to_1000,4_to_7,3,female,guarantor,3,unknown,53,none,free,1,skilled,1,yes,yes
0_to_200,11,prior_payments_delayed,furniture,1198,less_100,4_to_7,3,male,none,2,savings_insurance,34,bank,rent,1,unskilled,1,yes,yes
no_checking,35,prior_payments_delayed,radio_tv,8036,500_to_1000,1_to_4,4,male,co-applicant,5,savings_insurance,37,none,own,2,management_self-employed,2,yes,yes
no_checking,26,outstanding_credit,furniture,3091,500_to_1000,4_to_7,4,male,none,4,car_other,31,none,own,1,management_self-employed,1,none,yes
no_checking,10,credits_paid_to_date,furniture,6084,100_to_500,4_to_7,2,male,none,3,savings_insurance,37,none,own,2,skilled,1,none,yes
less_0,22,no_credits,vacation,250,100_to_500,less_1,2,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes
0_to_200,16,prior_payments_delayed,furniture,4722,100_to_500,greater_7,3,male,none,2,unknown,50,bank,own,2,unemployed,1,yes,yes
no_checking,36,prior_payments_delayed,appliances,5035,500_to_1000,less_1,3,male,none,4,savings_insurance,33,none,own,1,management_self-employed,1,none,yes
no_checking,8,credits_paid_to_date,car_used,3321,greater_1000,1_to_4,3,male,none,3,real_estate,30,none,own,3,management_self-employed,2,yes,yes
greater_200,34,outstanding_credit,vacation,3700,500_to_1000,greater_7,4,female,none,4,car_other,42,none,own,2,skilled,1,yes,no
0_to_200,4,prior_payments_delayed,car_new,1216,500_to_1000,4_to_7,2,male,none,3,savings_insurance,22,none,rent,1,skilled,1,none,yes
less_0,32,prior_payments_delayed,radio_tv,4234,500_to_1000,4_to_7,4,male,none,3,car_other,35,none,free,2,skilled,1,none,yes
0_to_200,31,credits_paid_to_date,appliances,2909,100_to_500,1_to_4,2,female,none,3,car_other,41,bank,own,1,unemployed,1,none,yes
no_checking,18,outstanding_credit,business,5656,100_to_500,4_to_7,4,male,guarantor,5,savings_insurance,53,none,free,1,management_self-employed,1,yes,yes
0_to_200,21,outstanding_credit,radio_tv,6826,greater_1000,greater_7,4,male,none,3,car_other,34,none,own,2,skilled,1,yes,yes
0_to_200,6,all_credits_paid_back,car_used,250,less_100,4_to_7,3,female,none,1,savings_insurance,28,none,own,1,skilled,1,none,yes
less_0,14,all_credits_paid_back,car_used,2468,less_100,1_to_4,2,female,co-applicant,1,real_estate,26,bank,own,1,unskilled,1,none,yes
0_to_200,4,all_credits_paid_back,car_new,337,less_100,unemployed,1,female,none,1,savings_insurance,26,none,own,1,skilled,1,yes,yes
no_checking,14,outstanding_credit,retraining,7135,greater_1000,1_to_4,4,male,none,4,car_other,40,none,own,2,management_self-employed,1,yes,yes
0_to_200,14,credits_paid_to_date,furniture,2476,less_100,1_to_4,3,male,none,3,real_estate,28,none,own,2,skilled,2,yes,yes
0_to_200,14,no_credits,car_new,2918,less_100,unemployed,2,female,none,1,savings_insurance,35,none,own,2,skilled,1,none,yes
0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,2,female,none,3,savings_insurance,24,none,own,1,management_self-employed,1,none,yes
no_checking,36,outstanding_credit,appliances,6550,greater_1000,greater_7,5,male,co-applicant,5,unknown,59,none,free,3,skilled,2,yes,yes
0_to_200,30,credits_paid_to_date,business,5087,less_100,4_to_7,4,female,none,3,car_other,25,bank,own,1,unemployed,1,yes,yes
no_checking,35,prior_payments_delayed,appliances,6638,greater_1000,1_to_4,4,male,none,3,savings_insurance,48,none,own,2,skilled,1,none,yes
no_checking,37,prior_payments_delayed,appliances,6710,unknown,1_to_4,3,male,none,3,unknown,41,stores,own,2,unskilled,2,yes,yes
0_to_200,29,outstanding_credit,other,4651,500_to_1000,greater_7,4,male,none,2,car_other,43,none,free,2,skilled,1,yes,yes
0_to_200,4,all_credits_paid_back,car_new,624,less_100,less_1,2,male,none,1,real_estate,32,none,own,1,skilled,1,none,yes
no_checking,8,credits_paid_to_date,radio_tv,2936,greater_1000,less_1,3,male,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes
0_to_200,25,outstanding_credit,appliances,7801,100_to_500,greater_7,5,female,none,4,car_other,39,none,own,1,management_self-employed,1,yes,yes
0_to_200,22,outstanding_credit,car_used,7618,greater_1000,1_to_4,4,male,none,4,car_other,34,none,own,2,management_self-employed,1,yes,no
less_0,15,credits_paid_to_date,furniture,374,less_100,less_1,1,male,none,2,real_estate,19,none,own,1,skilled,1,none,yes
no_checking,28,prior_payments_delayed,radio_tv,1820,unknown,less_1,2,female,none,4,savings_insurance,28,bank,rent,2,unemployed,1,yes,yes
less_0,11,all_credits_paid_back,car_used,1282,less_100,unemployed,2,male,none,2,real_estate,19,none,own,1,skilled,1,yes,yes
0_to_200,17,credits_paid_to_date,retraining,4275,less_100,less_1,3,female,none,2,car_other,31,none,own,1,skilled,1,none,yes
